交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
654,做多,止盈,8.86999999999989,-0.774520856820767,1578.37,1580.66,1567.92,1569.5,1569.5,1573.79,1567.69,1571.5
766,做空,止盈,16.49000000000001,-0.7762280169799984,1791.85,1813.7,1789.62,1808.34,1808.34,1814.23,1802.42,1806.82
1172,做空,止盈,63.879999999999654,-0.7767689417658133,3420.76,3486.0,3417.38,3484.64,3484.63,3500.0,3467.0,3480.5
7,做空,止盈,37.909999999999854,-0.7792139277235578,3357.38,3398.58,3356.38,3395.29,3395.28,3410.0,3385.92,3387.59
1174,做多,止盈,34.04999999999973,-0.7794419970631477,3511.85,3511.9,3473.67,3477.8,3477.79,3485.36,3472.56,3476.87
21,做多,止损,16.890000000000327,-0.7797513321491899,3654.84,3654.9,3632.61,3637.95,3637.94,3641.73,3625.55,3639.27
1331,做多,止盈,23.36999999999989,-0.7809157038938846,4237.14,4239.0,4195.0,4213.77,4213.77,4220.75,4190.0,4219.94
313,做空,止盈,13.920000000000073,-0.7816091954023026,2745.9,2765.34,2745.9,2759.82,2759.82,2770.59,2756.78,2762.15
1284,做多,止盈,36.32999999999993,-0.7822736030828552,3503.41,3503.42,3465.62,3467.08,3467.09,3475.0,3455.0,3470.33
1308,做多,止盈,23.929999999999836,-0.7822816548265745,3691.48,3693.35,3666.68,3667.55,3667.55,3674.63,3659.18,3674.17
1163,做空,止盈,17.179999999999836,-0.782305005820706,3456.01,3477.64,3449.03,3473.19,3473.2,3478.0,3462.47,3474.05
1714,做空,止盈,20.670000000000073,-0.7827769714562061,3626.1,3647.68,3621.04,3646.77,3646.77,3650.19,3637.22,3646.19
1413,做多,止盈,22.76000000000022,-0.7838312829525472,4798.26,4799.16,4765.19,4775.5,4775.49,4781.32,4758.88,4771.22
767,做多,止盈,12.779999999999973,-0.7840375586854462,1806.48,1809.23,1793.07,1793.7,1793.7,1799.21,1788.11,1798.93
1421,做空,止盈,34.44000000000051,-0.78455284552843,4630.28,4677.0,4620.18,4664.72,4664.72,4690.02,4647.2,4649.04
1418,做多,止盈,34.090000000000146,-0.786154297447934,4625.45,4626.66,4581.55,4591.36,4591.37,4599.86,4555.01,4591.02
57,做空,止损,14.329999999999927,-0.7864619678995143,3091.36,3111.21,3083.13,3105.69,3105.7,3111.25,3094.4,3103.89
759,做多,止盈,14.360000000000127,-0.7869080779944189,1770.4,1773.78,1755.78,1756.04,1756.04,1762.48,1746.04,1759.51
840,做空,止损,11.5300000000002,-0.787510841283588,2470.79,2482.77,2466.33,2482.32,2482.32,2491.31,2475.41,2479.4
267,做多,止盈,42.409999999999854,-0.7875501061070551,2615.0,2620.07,2565.97,2572.59,2572.6,2586.67,2559.85,2574.69
